"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal)_1 []"
27,90.0000000000002,0,12.6137709852821
27,90.0000000000002,2,12.5289361598303
27,90.0000000000002,4,12.2946706527073
27,90.0000000000002,6,11.9070911417551
27,90.0000000000002,8,11.359090942842
27,90.0000000000002,10,10.6395316184229
27,90.0000000000002,12,9.73186050042555
27,90.0000000000002,14,8.6117409821167
27,90.0000000000002,16,7.24283886588781
27,90.0000000000002,18,5.56885273883386
27,90.0000000000002,20,3.4970441299052
27,90.0000000000002,22,0.859625129343171
27,90.0000000000002,24,-2.69563776677487
27,90.0000000000002,26,-8.13163872154548
27,90.0000000000002,28,-20.0970886556437
27,90.0000000000002,30,-14.0351655254126
27,90.0000000000002,32,-7.51605178652821
27,90.0000000000002,34,-4.38204545815204
27,90.0000000000002,36,-2.55308003457616
27,90.0000000000002,38,-1.44031960761353
27,90.0000000000002,40,-0.794815994986057
27,90.0000000000002,42,-0.487649672673199
27,90.0000000000002,44,-0.443320249986913
27,90.0000000000002,46,-0.613917342386618
27,90.0000000000002,48,-0.967412662933788
27,90.0000000000002,50,-1.48173107594097
27,90.0000000000002,52,-2.14145816292088
27,90.0000000000002,54,-2.93581591150402
27,90.0000000000002,56,-3.85721461974639
27,90.0000000000002,58,-4.89994268063016
27,90.0000000000002,60,-6.05859842501949
27,90.0000000000002,62,-7.32575638627907
27,90.0000000000002,64,-8.68810902575548
27,90.0000000000002,66,-10.1200474473826
27,90.0000000000002,68,-11.5739449432972
27,90.0000000000002,70,-12.9692054131969
27,90.0000000000002,72,-14.1904670476149
27,90.0000000000002,74,-15.1150906795022
27,90.0000000000002,76,-15.6743164643441
27,90.0000000000002,78,-15.8989285171567
27,90.0000000000002,80,-15.8951491127689
27,90.0000000000002,82,-15.780679692403
27,90.0000000000002,84,-15.6435671180342
27,90.0000000000002,86,-15.5360465403133
27,90.0000000000002,88,-15.4838695065806
27,90.0000000000002,90,-15.4966479361214
27,90.0000000000002,92,-15.574950271206
27,90.0000000000002,94,-15.7143205639773
27,90.0000000000002,96,-15.907249668506
