"Theta [deg]","dB(GainTotal)_Phi_0 [] - Freq='27GHz' Phi='0deg'","dB(GainTotal)_Phi_90 [] - Freq='27GHz' Phi='90.0000000000002deg'"
0,15.6270771517709,15.6270771517709
2,15.7305185443525,15.315732862593
4,15.8116579901766,14.39186903396
6,15.8712845010137,12.7758858363814
8,15.9099091134692,10.2877650273476
10,15.9278098584361,6.50457573294735
12,15.9250859791093,0.113493760776917
14,15.9017193297103,-20.7494152031414
16,15.8576422831523,-3.63528324539608
18,15.7928130979391,0.910362720626984
20,15.7073007175022,2.27140294582597
22,15.6013803571298,1.95887080947291
24,15.4756379782787,0.220547858751002
26,15.3310752965589,-3.31116067617337
28,15.1691976907459,-10.5870522170095
30,14.9920571286836,-19.5591104535063
32,14.8022147618447,-7.92198585668057
34,14.6025887293252,-4.23372326105199
36,14.3961679830361,-2.86539887750619
38,14.1856058448422,-2.83388981476449
40,13.9727533334004,-3.84608481944471
42,13.758237248711,-5.86394896418828
44,13.5412092604278,-9.06179206502203
46,13.3193714879727,-13.8830105134884
48,13.0893209818314,-18.7391606578699
50,12.8471721168376,-15.3956783559103
52,12.5893442156159,-11.5084266474838
54,12.3133634837679,-9.09202570603086
56,12.0185239890644,-7.6202676197556
58,11.706267988667,-6.81427443436126
60,11.3801707175795,-6.54479742663974
62,11.0454551251821,-6.74348789281306
64,10.7080394012525,-7.36238153047503
66,10.3732491270072,-8.35134378839624
68,10.0444814795682,-9.63805083154399
70,9.72221212250894,-11.1057785032853
72,9.40369358481076,-12.5822561847674
74,9.08348527030017,-13.8794704300732
76,8.75467513490014,-14.8993688636231
78,8.410451384694,-15.7000446438735
80,8.04564312379554,-16.4220484671504
82,7.6579367155234,-17.1667925131536
84,7.24859186841348,-17.9343856139068
86,6.82255676178866,-18.6193848332197
88,6.38791438569635,-19.0594982754093
90,5.95464104916125,-19.1473000917893
92,5.53279179735411,-18.922312340706
94,5.13045657040606,-18.5305487482593
96,4.75205032219942,-18.1161857489265
98,4.39752374695351,-17.7663326137729
100,4.06280120728923,-17.5139116516985
102,3.7412897839491,-17.3576395251575
104,3.42594015407292,-17.2796594922071
106,3.11126978708186,-17.258711197044
108,2.79493785551234,-17.2803343980565
110,2.47870212376925,-17.3439995421652
112,2.16873939517267,-17.4653284220977
114,1.87533680083842,-17.671692899199
116,1.61191506546627,-17.9911292992674
118,1.39332179466782,-18.4362991474114
120,1.2334310165359,-18.98816206534
122,1.14235068978069,-19.5927088115496
124,1.12388191626731,-20.1951748495726
126,1.17404117700652,-20.8155524167322
128,1.28120836001742,-21.5993540667033
130,1.42784848864749,-22.7554301373269
132,1.59315821437869,-24.2838283601103
134,1.75578698453996,-25.2010427424863
136,1.8960113017532,-23.9210834411054
138,1.99714140266162,-21.5870813778066
140,2.04625416901218,-19.8054841496189
142,2.03448135796046,-19.0242730701168
144,1.9570760160209,-19.3715935678681
146,1.81340171293849,-21.0298339787783
148,1.60688448200838,-24.2598434365075
150,1.34485330268968,-27.6888143086793
152,1.03808181295979,-25.8143717909644
154,0.699763074366218,-22.9911019582326
156,0.343672199896459,-21.9297689264947
158,-0.0185125001480279,-22.6140005187178
160,-0.380342759050443,-25.0967402323578
162,-0.743383334737653,-28.9176024422395
164,-1.11879003705909,-28.855201908407
166,-1.52735760999356,-25.3486554771728
168,-1.99856759710002,-22.3516411594103
170,-2.56982354568676,-19.3325074592638
172,-3.28729729121649,-16.1687801048015
174,-4.21000115095951,-13.367368989177
176,-5.4197623947287,-11.2500721189678
178,-7.04366719336546,-9.89895534400776
180,-9.30874800425122,-9.30874800425122
182,-12.6996950095114,-9.45579966989074
184,-18.4719275560935,-10.3066348100791
186,-23.049277567193,-11.7878497214803
188,-15.2393971632218,-13.7157892063838
190,-10.4512823600915,-15.7390208711426
192,-7.37427386908766,-17.5136022638107
194,-5.19110774750933,-19.0448756422607
196,-3.56862681936703,-20.4033010013837
198,-2.34275350411133,-21.0529045595385
200,-1.42047475697426,-20.565495136492
202,-0.742681901760805,-19.795629468357
204,-0.267391658471487,-19.711662532095
206,0.0390132139422226,-20.8154090876799
208,0.206904754033871,-23.4933934551994
210,0.266486410849172,-27.3919920426533
212,0.249203625360572,-26.537999180576
214,0.187281028438263,-22.6740386519584
216,0.111135599507228,-20.3143710122482
218,0.0450694412959118,-19.3282062924731
220,0.00280524590867593,-19.3629581191393
222,-0.0148615980258567,-20.1632573514112
224,-0.018815353400751,-21.480450166162
226,-0.027299426438438,-23.0183628770284
228,-0.0605657343818564,-24.4433732263975
230,-0.136453471408188,-25.3559024689813
232,-0.267726742792494,-25.2480106358828
234,-0.46098284422766,-24.0396161162475
236,-0.716559125747373,-22.3892339539729
238,-1.02896853156698,-20.9123807107229
240,-1.38767084881962,-19.8484305271024
242,-1.77823320895973,-19.2241707904187
244,-2.18404282124423,-18.9854217923576
246,-2.58863773852884,-19.0464834381111
248,-2.97840372677277,-19.3056729870859
250,-3.34498070053467,-19.6533643541734
252,-3.68653174223805,-19.9837271317079
254,-4.00730961132184,-20.2126040965245
256,-4.3156176302023,-20.2955066310983
258,-4.62087181392792,-20.234919985461
260,-4.93067512051678,-20.0714441842995
262,-5.24866204812422,-19.8647493315692
264,-5.57367069244179,-19.6754581996152
266,-5.90074143778459,-19.5543423496594
268,-6.22438738205486,-19.5379337037576
270,-6.5441560105485,-19.6451247432321
272,-6.87153844296806,-19.8663661470728
274,-7.23641460303424,-20.1335273127973
276,-7.69175259070701,-20.2646268898791
278,-8.31786996362461,-19.9426349735331
280,-9.23161530948532,-18.9002663799803
282,-10.6118634683695,-17.2219402504994
284,-12.7662189240188,-15.2603760739339
286,-16.2645906290059,-13.3219560006863
288,-20.7517191659366,-11.5686251652981
290,-17.2269527812499,-10.0667321334494
292,-11.688339833764,-8.83774952532027
294,-7.79168480229406,-7.88431711686187
296,-4.91977325552328,-7.20194536217161
298,-2.69570762680862,-6.78617379150712
300,-0.923833306158574,-6.6413666181917
302,0.509052697131415,-6.79541335269603
304,1.67671569145705,-7.32389593437334
306,2.63331639014373,-8.39061816612348
308,3.42356870806948,-10.3290843383187
310,4.08828124954808,-13.8062818495043
312,4.66707972965887,-18.2978415702047
314,5.19875663521582,-13.8706628567353
316,5.71931766581807,-8.50851926743907
318,6.25822920960448,-5.10960249627748
320,6.83434175815374,-3.03644559970175
322,7.45359728339442,-2.01710908969011
324,8.1099546132007,-2.03406224342642
326,8.78917438015387,-3.3263494061301
328,9.47365287591117,-6.74362803485431
330,10.1464570932877,-16.9426700023922
332,10.7936974576041,-11.6870811363861
334,11.4053497004242,-3.49707179740367
336,11.9750743765738,0.283052266741028
338,12.4995725722702,2.14847854096243
340,12.9778335302169,2.54770958096069
342,13.4104524036593,1.26691963645511
344,13.7990803472328,-3.12917987860844
346,14.1460093101442,-22.4076756099048
348,14.4538697978434,0.110649532253202
350,14.7254145100666,6.59511257490443
352,14.96336374302,10.389113430253
354,15.1702942813926,12.8634433527792
356,15.3485595529718,14.4546326081486
358,15.500233869752,15.348267750826
360,15.6270771517709,15.6270771517709
