"Theta [deg]","dB(GainTotal)_1 [] - Freq='27GHz' Phi='0deg'","dB(GainTotal) [] - Freq='27GHz' Phi='90.0000000000002deg'"
0,7.882685032381,7.882685032381
2,7.99330241875125,7.87832813947054
4,8.0799547430861,7.85927088835084
6,8.14340586445878,7.82543761653872
8,8.18438043647321,7.77662309115252
10,8.20356026813304,7.71251333820007
12,8.20158891405339,7.63271499843888
14,8.17908299266671,7.5367911418428
16,8.13664814953265,7.4243012832028
18,8.07489716269852,7.29484332116831
20,7.99446749330119,7.14809523091843
22,7.89603566304835,6.98385452371279
24,7.78032620763757,6.80207369007087
26,7.6481135936123,6.60289002056609
28,7.50021634134287,6.38664831967816
30,7.33748358050247,6.15391508939206
32,7.16077526099989,5.90548278682912
34,6.97093812084716,5.64236281413041
36,6.76878014433797,5.36576606906258
38,6.5550465256589,5.07707027885152
40,6.33040002934608,4.77777405820144
42,6.09540811997605,4.46943873266748
44,5.85053839889519,4.15362042136474
46,5.59616287203858,3.83179652602194
48,5.33257054443897,3.50529234084265
50,5.05998694991039,3.17521459694572
52,4.77859859271037,2.84239899810928
54,4.48857995349286,2.50737792585776
56,4.1901206816161,2.17037247052838
58,3.88345079654542,1.83131006068753
60,3.56886206349713,1.48986574937784
62,3.24672410394923,1.14552231236177
64,2.91749418336599,0.797642277595057
66,2.58171995368722,0.445544154047244
68,2.24003472045684,0.0885754779066798
70,1.89314508763446,-0.273823395548814
72,1.5418111581921,-0.642068938226938
74,1.18681988705805,-1.01639964760043
76,0.82895272843113,-1.39685697274261
78,0.468949390806884,-1.78328052627994
80,0.107470263021585,-2.17531491729586
82,-0.254939191357861,-2.57242470285142
84,-0.617878185518629,-2.97391345812973
86,-0.981110316267195,-3.37894275971422
88,-1.34456912562159,-3.78654693838073
90,-1.70834594968132,-4.19563979741647
92,-2.07265743124362,-4.60501016004873
94,-2.43779132102241,-5.01330419525116
96,-2.80403060481464,-5.41899410135617
98,-3.17155746011351,-5.82033505048163
100,-3.5403400563951,-6.21531544811281
102,-3.91000691646536,-6.60160957829416
104,-4.2797157710523,-6.97654637364893
106,-4.64802700007564,-7.33711268304393
108,-5.01279624868939,-7.68001259618906
110,-5.37110665704238,-8.00180388272338
112,-5.71926751610583,-8.29912568420663
114,-6.05291078555134,-8.569016163018
116,-6.36721573958162,-8.80929531064008
118,-6.65727983788683,-9.01896145718829
120,-6.9186267615913,-9.19852974660354
122,-7.14780182694873,-9.35023788583377
124,-7.34296147150958,-9.4780649858788
126,-7.50433668456441,-9.58754925622662
128,-7.63445957441007,-9.68543573802555
130,-7.73809329204151,-9.77921932442554
132,-7.82188172163946,-9.87666043394416
134,-7.8938050953797,-9.98534117130607
136,-7.9625633518159,-10.1123073925009
138,-8.03700277413719,-10.2638176773754
140,-8.12566582726627,-10.4452014785946
142,-8.23650034438115,-10.6608182831262
144,-8.37672920456277,-10.9141061251998
146,-8.55286248370167,-11.2077079647781
